AccountId,SubTotal,Address,Phone,Status,CreatedDate
7,3055,0883 Loftsgordon Pass,353-(340)376-9294,TRUE,2015-10-16T12:52:23Z
5,5915,5 Judy Pass,389-(933)477-2208,TRUE,2015-10-16T19:07:53Z
9,5090,83860 Valley Edge Plaza,598-(771)155-4363,TRUE,2015-10-18T08:49:20Z
10,215,8328 Crescent Oaks Trail,387-(467)218-4601,TRUE,2015-10-19T11:31:40Z
2,1110,68 Armistice Street,1-(876)713-7435,TRUE,2015-10-21T23:22:40Z
9,2150,36843 Randy Court,86-(312)341-0470,TRUE,2015-10-23T22:20:20Z
5,1225,248 Gerald Court,1-(936)938-7207,TRUE,2015-10-24T23:39:04Z
10,3660,6 Bay Parkway,351-(421)182-9876,TRUE,2015-10-25T01:10:00Z
9,6725,91 Marcy Place,7-(492)381-1178,TRUE,2015-10-29T04:36:07Z
9,6565,46 Green Ridge Alley,380-(911)212-9696,TRUE,2015-10-29T22:02:56Z
2,5875,9430 Lakewood Plaza,46-(203)915-9040,TRUE,2015-10-30T23:10:27Z
5,6780,0 Crowley Pass,33-(284)768-1781,TRUE,2015-11-01T10:12:42Z
5,4860,8561 Ilene Drive,66-(265)545-0518,TRUE,2015-11-01T17:48:44Z
2,7445,938 Park Meadow Crossing,57-(163)474-1996,TRUE,2015-11-01T22:16:20Z
7,3985,43654 Waubesa Point,420-(804)702-1596,TRUE,2015-11-02T17:12:49Z
5,2390,5217 Johnson Parkway,62-(736)764-0203,TRUE,2015-11-04T07:49:45Z
2,1480,33971 Hoepker Crossing,57-(322)379-4690,TRUE,2015-11-06T06:34:46Z
7,5185,1 Pine View Place,62-(139)326-3213,TRUE,2015-11-06T13:59:52Z
2,6940,67584 Springs Pass,62-(258)158-8743,TRUE,2015-11-09T03:33:44Z
6,2320,9 Victoria Parkway,86-(794)217-6888,TRUE,2015-11-09T07:55:32Z
5,4695,9 Nevada Park,856-(806)396-1690,TRUE,2015-11-10T02:22:47Z
4,5770,00149 Anderson Trail,55-(197)813-1198,TRUE,2015-11-10T21:24:02Z
9,5000,1 Orin Court,7-(909)289-5346,TRUE,2015-11-11T11:55:38Z
9,6835,1 Fair Oaks Circle,359-(432)653-9510,TRUE,2015-11-11T23:56:37Z
4,2955,9460 Fieldstone Hill,1-(947)202-1329,TRUE,2015-11-12T01:31:55Z
4,7430,75331 Fair Oaks Place,86-(757)154-0094,TRUE,2015-11-12T01:32:24Z
3,6720,86480 Grover Circle,63-(754)514-5348,TRUE,2015-11-12T08:11:50Z
5,5710,23 Loomis Lane,86-(964)491-1570,TRUE,2015-11-12T09:04:40Z
3,2370,92146 Eastwood Way,507-(969)225-8108,TRUE,2015-11-14T03:05:20Z
9,4345,8 Hanson Center,86-(112)475-7209,TRUE,2015-11-16T01:01:57Z
7,2980,6747 Ohio Trail,63-(504)303-6130,TRUE,2015-11-16T04:06:02Z
7,8500,9863 Warner Junction,52-(482)495-8880,TRUE,2015-11-17T07:51:49Z
6,5575,430 Spaight Parkway,52-(215)147-4595,TRUE,2015-11-18T00:09:12Z
10,4635,08441 Loomis Drive,48-(480)338-2654,TRUE,2015-11-18T09:11:09Z
6,5360,46 Springview Terrace,1-(678)983-4120,TRUE,2015-11-19T10:27:23Z
9,1615,64013 Swallow Parkway,86-(901)525-9911,TRUE,2015-11-19T22:46:14Z
5,1740,7 Dunning Hill,351-(263)763-5847,TRUE,2015-11-20T22:04:23Z
7,3150,439 Express Pass,7-(276)947-8260,TRUE,2015-11-22T17:39:46Z
5,6280,3716 Fremont Road,86-(461)393-6657,TRUE,2015-11-23T04:27:16Z
6,5230,6484 Bluestem Avenue,86-(348)428-1553,TRUE,2015-11-24T13:44:34Z
9,5885,5 Waubesa Avenue,420-(693)992-8580,TRUE,2015-11-25T01:37:35Z
3,5420,8065 Fremont Avenue,63-(570)296-7592,TRUE,2015-11-25T11:59:40Z
2,2280,49 North Point,7-(156)105-6721,TRUE,2015-11-26T12:00:44Z
2,2015,35319 Del Sol Pass,54-(642)889-1173,TRUE,2015-11-27T05:40:59Z
10,3170,3532 Corry Way,7-(790)215-1237,TRUE,2015-11-27T06:42:21Z
8,3010,0 Eagan Circle,55-(219)627-3864,TRUE,2015-11-30T13:27:46Z
3,5595,5293 8th Way,63-(263)355-1117,TRUE,2015-12-02T19:10:19Z
3,3400,9 Crowley Lane,977-(342)494-1871,TRUE,2015-12-02T21:00:22Z
2,6170,3 Westerfield Point,86-(876)591-6122,TRUE,2015-12-03T19:50:13Z
8,1355,69 Chive Junction,351-(823)257-0669,TRUE,2015-12-04T23:54:06Z
8,2280,32 Londonderry Pass,86-(129)314-1560,TRUE,2015-12-05T00:03:20Z
2,5430,5591 Waxwing Lane,30-(753)976-7959,TRUE,2015-12-06T14:59:30Z
6,3755,597 Pleasure Junction,62-(297)559-7692,TRUE,2015-12-07T08:50:45Z
8,1575,57 Johnson Court,420-(799)185-0755,TRUE,2015-12-08T12:00:31Z
8,4355,58 Springs Circle,62-(814)929-0735,TRUE,2015-12-09T05:14:10Z
8,2390,30858 Carioca Center,352-(352)513-4663,TRUE,2015-12-09T22:55:39Z
6,5115,885 Nancy Junction,55-(680)248-7262,TRUE,2015-12-10T05:43:05Z
9,3495,9642 Graedel Circle,62-(515)337-3315,TRUE,2015-12-10T08:18:48Z
5,2380,50 Clemons Point,51-(717)831-9671,TRUE,2015-12-10T08:44:40Z
7,4785,615 Novick Avenue,46-(709)345-8158,TRUE,2015-12-10T09:19:00Z
8,1655,08 Steensland Junction,46-(154)177-4562,TRUE,2015-12-12T08:57:00Z
8,640,72 Summerview Avenue,47-(401)857-5591,TRUE,2015-12-13T00:52:15Z
8,1865,9791 1st Place,86-(729)834-9804,TRUE,2015-12-13T21:21:35Z
7,3045,2800 Longview Court,226-(670)719-3852,TRUE,2015-12-13T22:50:23Z
10,2545,9 Killdeer Way,86-(118)136-7516,TRUE,2015-12-14T08:27:49Z
3,1030,38321 Pennsylvania Road,66-(633)146-0423,TRUE,2015-12-16T03:17:51Z
